sport_name,gold,silver,bronze,total_medals
Wrestling,2,1,3,6
Sambo,1,2,1,4
Shooting,1,1,1,3
Boxing,1,1,0,2
Judo,0,2,5,7
Kurash,0,2,0,2
Ju-Jitsu,0,0,1,1
