sport_name,gold,silver,bronze,total_medals
Ju-Jitsu,1,1,2,4
Athletics,1,1,0,2
Wrestling,0,4,4,8
Judo,0,0,2,2
Pencak Silat,0,0,2,2
Boxing,0,0,1,1
Weightlifting,0,0,1,1
