sport_name,gold,silver,bronze,total_medals
Wrestling,5,0,3,8
Wushu,2,4,0,6
Karate,2,3,3,8
Taekwondo,2,3,2,7
Weightlifting,2,1,1,4
Athletics,2,1,0,3
Kabaddi,2,0,0,2
Kurash,1,1,2,4
Sport Climbing,1,0,0,1
Volleyball,1,0,0,1
Rowing,0,3,1,4
Canoe/Kayak Sprint,0,1,2,3
Fencing,0,1,1,2
Judo,0,1,1,2
Basketball,0,1,0,1
Archery,0,0,1,1
Basketball 3x3,0,0,1,1
Pencak Silat,0,0,1,1
Shooting,0,0,1,1
Table Tennis,0,0,1,1
Water Polo,0,0,1,1
