sport_name,gold,silver,bronze,total_medals
Kurash,6,2,4,12
Boxing,5,2,0,7
Wrestling,2,1,3,6
Canoe/Kayak Sprint,1,3,4,8
Taekwondo,1,3,2,6
Weightlifting,1,2,2,5
Athletics,1,2,1,4
Rowing,1,2,1,4
Sambo,1,1,2,4
Judo,1,0,3,4
Tennis,1,0,0,1
Rhythmic Gymnastics,0,2,0,2
Karate,0,1,2,3
Cycling Road,0,1,0,1
Artistic Gymnastics,0,1,0,1
Wushu,0,1,0,1
Pencak Silat,0,0,1,1
