sport_name,gold,silver,bronze,total_medals
Swimming,2,1,3,6
Sailing,1,0,1,2
Bridge,1,0,0,1
Pencak Silat,0,2,3,5
Ju-Jitsu,0,1,0,1
Bowling,0,0,2,2
Sepaktakraw,0,0,2,2
Canoe/Kayak Sprint,0,0,1,1
Fencing,0,0,1,1
Table Tennis,0,0,1,1
