url,fullname,name,surname,country,noc_code,discipline
https://en.asiangames2018.id/athletes/athlete/AKKHASITH-Viengxay-3012169/,AKKHASITH Viengxay,VIENGXAY,AKKHASITH,Lao PDR,LAO,Boxing
https://en.asiangames2018.id/athletes/athlete/ALIYA-Maniphone-3012174/,ALIYA Maniphone,MANIPHONE,ALIYA,Lao PDR,LAO,Soft Tennis
https://en.asiangames2018.id/athletes/athlete/BANNAVONG-Kingphet-3015226/,BANNAVONG Kingphet,KINGPHET,BANNAVONG,Lao PDR,LAO,Paragliding
https://en.asiangames2018.id/athletes/athlete/BANXAVANG-Chiep-3010828/,BANXAVANG Chiep,CHIEP,BANXAVANG,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/BOTSAVANG-O-Khe-3005403/,BOTSAVANG O Khe,O KHE,BOTSAVANG,Lao PDR,LAO,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/BOUNKONG-Bounphachan-3010508/,BOUNKONG Bounphachan,Bounphachan,Bounkong,Lao PDR,LAO,Football
https://en.asiangames2018.id/athletes/athlete/BOUNMALAY-Tiny-3010638/,BOUNMALAY Tiny,Tiny,Bounmalay,Lao PDR,LAO,Football
https://en.asiangames2018.id/athletes/athlete/BOUNNAVONG-Vanxay-3005400/,BOUNNAVONG Vanxay,VANXAY,BOUNNAVONG,Lao PDR,LAO,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/BOUNPASEUTH-Phitthasanh-3011404/,BOUNPASEUTH Phitthasanh,PHITTHASANH,BOUNPASEUTH,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/BOUNPHAIVANH-Laksanaxay-3011406/,BOUNPHAIVANH Laksanaxay,LAKSANAXAY,BOUNPHAIVANH,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/BUDCHARERN-Siri-Arun-3014234/,BUDCHARERN Siri Arun,SIRI ARUN,BUDCHARERN,Lao PDR,LAO,Swimming
https://en.asiangames2018.id/athletes/athlete/CHAMBERLAIN-Sompathana-3014241/,CHAMBERLAIN Sompathana,SOMPATHANA,CHAMBERLAIN,Lao PDR,LAO,Swimming
https://en.asiangames2018.id/athletes/athlete/CHAMPAMANIVONG-Phonesamai-3012175/,CHAMPAMANIVONG Phonesamai,PHONESAMAI,CHAMPAMANIVONG,Lao PDR,LAO,Soft Tennis
https://en.asiangames2018.id/athletes/athlete/CHAMPAVANNALATH-Piyaphong-3005388/,CHAMPAVANNALATH Piyaphong,PIYAPHONG,CHAMPAVANNALATH,Lao PDR,LAO,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/CHANDALA-Santisouk-3010834/,CHANDALA Santisouk,SANTISOUK,CHANDALA,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/CHANTHAKOUMMANE-Khonema-3015295/,CHANTHAKOUMMANE Khonema,Khonema,CHANTHAKOUMMANE,Lao PDR,LAO,Judo
https://en.asiangames2018.id/athletes/athlete/CHANTHAVONG-Chanthalak-3011398/,CHANTHAVONG Chanthalak,CHANTHALAK,CHANTHAVONG,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/CHANTHILATH-Souksavanh-3024241/,CHANTHILATH Souksavanh,SOUKSAVANH,CHANTHILATH,Lao PDR,LAO,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/CHANTILATH-Daomayuly-3011662/,CHANTILATH Daomayuly,DAOMAYULY,CHANTILATH,Lao PDR,LAO,Boxing
https://en.asiangames2018.id/athletes/athlete/DOUANGMANY-Aphinyo-3030290/,DOUANGMANY Aphinyo,APHINYO,DOUANGMANY,Lao PDR,LAO,Pencak Silat
https://en.asiangames2018.id/athletes/athlete/DUANGMALA-Falida-3011310/,DUANGMALA Falida,FALIDA,DUANGMALA,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/GNIATOU-Nalor-3006490/,GNIATOU Nalor,NALOR,GNIATOU,Lao PDR,LAO,Baseball
https://en.asiangames2018.id/athletes/athlete/HER-Thongvanh-3005906/,HER Thongvanh,THONGVANH,HER,Lao PDR,LAO,Baseball
https://en.asiangames2018.id/athletes/athlete/HOPKHOP-Phithak-3009925/,HOPKHOP Phithak,PHITHAK,HOPKHOP,Lao PDR,LAO,Baseball
https://en.asiangames2018.id/athletes/athlete/INNALAY-Phouthone-3010637/,INNALAY Phouthone,Phouthone,Innalay,Lao PDR,LAO,Football
https://en.asiangames2018.id/athletes/athlete/INTHAKOUMMAN-Lodkeo-3014343/,INTHAKOUMMAN Lodkeo,Lodkeo,Inthakoumman,Lao PDR,LAO,Athletics
https://en.asiangames2018.id/athletes/athlete/INTHALANGSY-Palinya-3017426/,INTHALANGSY Palinya,PALINYA,INTHALANGSY,Lao PDR,LAO,Soft Tennis
https://en.asiangames2018.id/athletes/athlete/INTHAVONG-Santisouk-3014223/,INTHAVONG Santisouk,SANTISOUK,INTHAVONG,Lao PDR,LAO,Swimming
https://en.asiangames2018.id/athletes/athlete/KABOKSY-Jen-3016231/,KABOKSY Jen,JEN,KABOKSY,Lao PDR,LAO,Archery
https://en.asiangames2018.id/athletes/athlete/KAHARN-Phetsivilay-3012471/,KAHARN Phetsivilay,Phetsivilay,Kaharn,Lao PDR,LAO,Football
https://en.asiangames2018.id/athletes/athlete/KAMKEO-Phone-3016203/,KAMKEO Phone,PHONE,KAMKEO,Lao PDR,LAO,Archery
https://en.asiangames2018.id/athletes/athlete/KEOHANAM-Somxay-3010606/,KEOHANAM Somxay,Somxay,Keohanam,Lao PDR,LAO,Football
https://en.asiangames2018.id/athletes/athlete/KEOSOULIYA-Sonsavan-3015189/,KEOSOULIYA Sonsavan,SONSAVAN,KEOSOULIYA,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/KEOVISETH-Phonsavanh-3013104/,KEOVISETH Phonsavanh,PHONSAVANH,KEOVISETH,Lao PDR,LAO,Sepaktakraw
https://en.asiangames2018.id/athletes/athlete/KHAMPHOUMY-Anandone-3017413/,KHAMPHOUMY Anandone,ANANDONE,KHAMPHOUMY,Lao PDR,LAO,Soft Tennis
